Time_Myr	Polarity
0	1
0.78	1
0.78	-1
0.99	-1
0.99	1
1.07	1
1.07	-1
1.201	-1
1.201	1
1.211	1
1.211	-1
1.77	-1
1.77	1
1.95	1
1.95	-1
2.14	-1
2.14	1
2.15	1
2.15	-1
2.581	-1
2.581	1
3.04	1
3.04	-1
3.11	-1
3.11	1
3.22	1
3.22	-1
3.33	-1
3.33	1
3.58	1
3.58	-1
4.18	-1
4.18	1
4.29	1
4.29	-1
4.48	-1
4.48	1
4.62	1
4.62	-1
4.8	-1
4.8	1
4.89	1
4.89	-1
4.98	-1
4.98	1
5.23	1
5.23	-1
5.894	-1
5.894	1
6.137	1
6.137	-1
6.269	-1
6.269	1
6.567	1
6.567	-1
6.935	-1
6.935	1
7.091	1
7.091	-1
7.135	-1
7.135	1
7.17	1
7.17	-1
7.341	-1
7.341	1
7.375	1
7.375	-1
7.432	-1
7.432	1
7.562	1
7.562	-1
7.65	-1
7.65	1
8.072	1
8.072	-1
8.225	-1
8.225	1
8.257	1
8.257	-1
8.606	-1
8.606	1
8.664	1
8.664	-1
8.699	-1
8.699	1
9.025	1
9.025	-1
9.097	-1
9.097	1
9.117	1
9.117	-1
9.23	-1
9.23	1
9.308	1
9.308	-1
9.58	-1
9.58	1
9.642	1
9.642	-1
9.74	-1
9.74	1
9.88	1
9.88	-1
9.92	-1
9.92	1
10.949	1
10.949	-1
11.052	-1
11.052	1
11.099	1
11.099	-1
11.167	-1
11.167	1
11.193	1
11.193	-1
11.352	-1
11.352	1
11.363	1
11.363	-1
11.476	-1
11.476	1
11.531	1
11.531	-1
11.555	-1
11.555	1
11.584	1
11.584	-1
11.935	-1
11.935	1
12.078	1
12.078	-1
12.184	-1
12.184	1
12.401	1
12.401	-1
12.678	-1
12.678	1
12.708	1
12.708	-1
12.775	-1
12.775	1
12.819	1
12.819	-1
12.991	-1
12.991	1
13.139	1
13.139	-1
13.302	-1
13.302	1
13.51	1
13.51	-1
13.703	-1
13.703	1
14.076	1
14.076	-1
14.178	-1
14.178	1
14.612	1
14.612	-1
14.8	-1
14.8	1
14.888	1
14.888	-1
15.034	-1
15.034	1
15.155	1
15.155	-1
16.014	-1
16.014	1
16.293	1
16.293	-1
16.327	-1
16.327	1
16.488	1
16.488	-1
16.556	-1
16.556	1
16.726	1
16.726	-1
17.277	-1
17.277	1
17.615	1
17.615	-1
17.793	-1
17.793	1
17.854	1
17.854	-1
18.281	-1
18.281	1
18.781	1
18.781	-1
19.048	-1
19.048	1
20.131	1
20.131	-1
20.518	-1
20.518	1
20.725	1
20.725	-1
20.996	-1
20.996	1
21.32	1
21.32	-1
21.768	-1
21.768	1
21.859	1
21.859	-1
22.151	-1
22.151	1
22.248	1
22.248	-1
22.459	-1
22.459	1
22.493	1
22.493	-1
22.588	-1
22.588	1
22.75	1
22.75	-1
22.804	-1
22.804	1
23.069	1
23.069	-1
23.353	-1
23.353	1
23.535	1
23.535	-1
23.677	-1
23.677	1
23.8	1
23.8	-1
23.999	-1
23.999	1
24.118	1
24.118	-1
24.73	-1
24.73	1
24.781	1
24.781	-1
24.835	-1
24.835	1
25.183	1
25.183	-1
25.496	-1
25.496	1
25.648	1
25.648	-1
25.678	-1
25.678	1
25.705	1
25.705	-1
25.823	-1
25.823	1
25.951	1
25.951	-1
25.992	-1
25.992	1
26.554	1
26.554	-1
27.027	-1
27.027	1
27.972	1
27.972	-1
28.283	-1
28.283	1
28.512	1
28.512	-1
28.578	-1
28.578	1
28.745	1
28.745	-1
29.401	-1
29.401	1
29.662	1
29.662	-1
29.765	-1
29.765	1
30.098	1
30.098	-1
30.479	-1
30.479	1
30.939	1
30.939	-1
33.058	-1
33.058	1
33.545	1
33.545	-1
34.655	-1
34.655	1
34.94	1
34.94	-1
35.343	-1
35.343	1
35.526	1
35.526	-1
35.685	-1
35.685	1
36.341	1
36.341	-1
36.618	-1
36.618	1
37.473	1
37.473	-1
37.604	-1
37.604	1
37.848	1
37.848	-1
37.92	-1
37.92	1
38.113	1
38.113	-1
38.426	-1
38.426	1
39.552	1
39.552	-1
39.631	-1
39.631	1
40.13	1
40.13	-1
41.257	-1
